iterations,pi_aprox,difference
1,4.000000000000,-0.858407
2,4.000000000000,-0.858407
3,4.000000000000,-0.858407
4,3.000000000000,0.141593
5,4.000000000000,-0.858407
6,2.666666746140,0.474926
7,4.000000000000,-0.858407
8,3.000000000000,0.141593
9,3.555555582047,-0.413963
10,3.200000047684,-0.058407
11,2.909090995789,0.232502
12,2.666666746140,0.474926
13,2.769230842590,0.372362
14,3.714285612106,-0.572693
15,3.200000047684,-0.058407
16,3.500000000000,-0.358407
17,2.823529481888,0.318063
18,3.555555582047,-0.413963
19,3.157894849777,-0.016302
20,3.000000000000,0.141593
21,3.619047641754,-0.477455
22,2.545454502106,0.596138
23,3.652173995972,-0.510581
24,3.666666746140,-0.525074
25,3.039999961853,0.101593
26,3.384615421295,-0.243023
27,3.259259223938,-0.117667
28,3.142857074738,-0.001264
29,3.448275804520,-0.306683
30,2.933333396912,0.208259
31,2.580645084381,0.560948
32,3.500000000000,-0.358407
33,3.393939495087,-0.252347
34,3.176470518112,-0.034878
35,2.857142925262,0.284450
36,2.666666746140,0.474926
37,3.459459543228,-0.317867
38,2.736842155457,0.404750
39,2.769230842590,0.372362
40,3.400000095367,-0.258407
41,3.121951103210,0.019642
42,2.476190567017,0.665402
43,3.069767475128,0.071825
44,3.272727251053,-0.131135
45,3.466666698456,-0.325074
46,3.565217494965,-0.423625
47,2.978723287582,0.162869
48,3.166666746140,-0.025074
49,3.591836690903,-0.450244
50,3.200000047684,-0.058407
51,2.666666746140,0.474926
52,2.923076868057,0.218516
53,3.245283126831,-0.103690
54,3.259259223938,-0.117667
55,3.200000047684,-0.058407
56,3.285714387894,-0.144122
57,3.017543792725,0.124049
58,2.965517282486,0.176075
59,3.050847530365,0.090745
60,3.400000095367,-0.258407
61,2.885245800018,0.256347
62,3.290322542191,-0.148730
63,3.428571462631,-0.286979
64,3.687500000000,-0.545907
65,3.076923131943,0.064670
66,3.212121248245,-0.070529
67,3.223880529404,-0.082288
68,3.058823585510,0.082769
69,3.188405752182,-0.046813
70,3.142857074738,-0.001264
71,3.211267709732,-0.069675
72,2.833333253860,0.308259
73,3.287671327591,-0.146079
74,3.243243217468,-0.101651
75,3.093333244324,0.048259
76,3.157894849777,-0.016302
77,3.168831110001,-0.027238
78,2.974359035492,0.167234
79,2.683544397354,0.458048
80,3.099999904633,0.041593
81,3.061728477478,0.079864
82,3.024390220642,0.117202
83,3.373493909836,-0.231901
84,3.142857074738,-0.001264
85,3.105882406235,0.035710
86,3.162790775299,-0.021198
87,3.218390703201,-0.076798
88,2.909090995789,0.232502
89,3.191011190414,-0.049419
90,3.066666603088,0.074926
91,3.120879173279,0.020713
92,2.956521749496,0.185071
93,3.268817186356,-0.127225
94,3.319149017334,-0.177556
95,3.368421077728,-0.226828
96,3.416666746140,-0.275074
97,3.092783451080,0.048809
98,3.224489688873,-0.082897
99,3.434343338013,-0.292751
100,3.200000047684,-0.058407
101,3.287128686905,-0.145536
102,3.098039150238,0.043554
103,2.757281541824,0.384311
104,3.230769157410,-0.089177
105,3.085714340210,0.055878
106,3.056603670120,0.084989
107,3.028037309647,0.113555
108,2.703703641891,0.437889
109,3.009174346924,0.132418
110,3.163636445999,-0.022044
111,3.243243217468,-0.101651
112,3.178571462631,-0.036979
113,3.150442361832,-0.008850
114,3.122807025909,0.018786
115,3.095652103424,0.045941
116,3.068965435028,0.072627
117,3.213675260544,-0.072083
118,3.186440706253,-0.044848
119,3.327731132507,-0.186138
120,3.066666603088,0.074926
121,3.173553705215,-0.031961
122,3.147541046143,-0.005948
123,3.219512224197,-0.077920
124,3.193548440933,-0.051956
125,3.167999982834,-0.026407
126,3.047619104385,0.093974
127,3.244094371796,-0.102502
128,2.968750000000,0.172843
129,3.069767475128,0.071825
130,3.138461589813,0.003131
131,3.175572633743,-0.033980
132,3.151515245438,-0.009923
133,3.187969923019,-0.046377
134,3.014925479889,0.126667
135,3.051851749420,0.089741
136,3.235294103622,-0.093701
137,3.416058301926,-0.274466
138,3.246376752853,-0.104784
139,3.107913732529,0.033679
140,3.057142972946,0.084450
141,2.865248203278,0.276344
142,3.295774698257,-0.154182
143,3.356643438339,-0.215051
144,3.138888835907,0.002704
145,2.951724052429,0.189869
146,3.452054738998,-0.310462
147,3.238095283508,-0.096503
148,2.945945978165,0.195647
149,3.248322248459,-0.106730
150,3.413333415985,-0.271741
151,3.099337816238,0.042255
152,3.157894849777,-0.016302
153,3.084967374802,0.056625
154,3.116883039474,0.024710
155,3.019354820251,0.122238
156,3.333333253860,-0.191741
157,3.184713363647,-0.043121
158,3.139240503311,0.002352
159,3.018867969513,0.122725
160,3.099999904633,0.041593
161,3.229813575745,-0.088221
162,3.283950567245,-0.142358
163,2.895705461502,0.245887
164,3.268292665482,-0.126700
165,3.321212053299,-0.179619
166,3.036144495010,0.105448
167,3.041916131973,0.099677
168,3.023809432983,0.117783
169,2.887573957443,0.254019
170,3.200000047684,-0.058407
171,3.274853706360,-0.133261
172,3.139534950256,0.002058
173,2.936416149139,0.205177
174,3.149425268173,-0.007833
175,3.154285669327,-0.012693
176,3.318181753159,-0.176589
177,3.209039449692,-0.067447
178,3.146067380905,-0.004475
179,3.374301671982,-0.232709
180,3.088888883591,0.052704
181,3.138121604919,0.003471
182,3.230769157410,-0.089177
183,2.950819730759,0.190773
184,3.152173995972,-0.010581
185,3.286486387253,-0.144894
186,3.096774101257,0.044819
187,3.251336812973,-0.109744
188,3.063829898834,0.077763
189,3.111111164093,0.030481
190,3.073684215546,0.067908
191,3.120418787003,0.021174
192,3.333333253860,-0.191741
193,2.943005084991,0.198588
194,3.134020566940,0.007572
195,3.261538505554,-0.119946
196,3.163265228271,-0.021673
197,3.106599092484,0.034994
198,3.030303001404,0.111290
199,3.216080427170,-0.074488
200,3.119999885559,0.021593
201,3.024875640869,0.116717
202,3.009901046753,0.131692
203,3.113300561905,0.028292
204,3.254901885986,-0.113309
205,3.141463518143,0.000129
206,3.048543691635,0.093049
207,3.478260755539,-0.336668
208,3.057692289352,0.083900
209,3.196172237396,-0.054580
210,3.276190519333,-0.134598
211,3.071089982986,0.070503
212,3.150943279266,-0.009351
213,3.136150121689,0.005443
214,3.345794439316,-0.204202
215,2.920930147171,0.220663
216,3.129629611969,0.011963
217,3.225806474686,-0.084214
218,3.174311876297,-0.032719
219,3.178082227707,-0.036490
220,3.236363649368,-0.094771
221,3.040724039078,0.100869
222,3.243243217468,-0.101651
223,3.139013528824,0.002579
224,3.214285612106,-0.072693
225,3.288888931274,-0.147296
226,3.061946868896,0.079646
227,3.066079378128,0.075513
228,3.122807025909,0.018786
229,3.126637458801,0.014955
230,3.252173900604,-0.110581
231,3.290043354034,-0.148451
232,3.189655065536,-0.048062
233,3.055794000626,0.085799
234,3.264957189560,-0.123365
235,3.165957450867,-0.024365
236,3.186440706253,-0.044848
237,3.240506410599,-0.098914
238,3.193277359009,-0.051685
239,3.230125427246,-0.088533
240,3.000000000000,0.141593
241,3.369294643402,-0.227702
242,3.041322231293,0.100270
243,3.160493850708,-0.018901
244,3.196721315384,-0.055129
245,3.036734580994,0.104858
246,3.154471635818,-0.012879
247,3.157894849777,-0.016302
248,3.064516067505,0.077077
249,3.228915691376,-0.087323
250,3.104000091553,0.037593
251,3.235059738159,-0.093467
252,2.968253850937,0.173339
253,2.750988245010,0.390604
254,3.181102275848,-0.039510
255,3.200000047684,-0.058407
256,3.328125000000,-0.186532
257,3.175097227097,-0.033505
258,3.271317720413,-0.129725
259,3.196911096573,-0.055318
260,3.107692241669,0.033900
261,2.973180055618,0.168413
262,2.916030645370,0.225562
263,3.072243452072,0.069349
264,3.121212005615,0.020381
265,2.973584890366,0.168008
266,3.052631616592,0.088961
267,3.056179761887,0.085413
268,3.194029808044,-0.052437
269,3.078066825867,0.063526
270,3.066666603088,0.074926
271,2.937269449234,0.204323
272,3.102941274643,0.038651
273,3.223443269730,-0.081851
274,3.226277351379,-0.084685
275,3.127272844315,0.014320
276,3.202898502350,-0.061306
277,2.960288763046,0.181304
278,3.194244623184,-0.052652
279,3.225806474686,-0.084214
280,3.228571414948,-0.086979
281,2.946619272232,0.194973
282,3.191489458084,-0.049897
283,2.968197822571,0.173395
284,3.084506988525,0.057086
285,3.185964822769,-0.044372
286,3.230769157410,-0.089177
287,2.996515750885,0.145077
288,3.069444417953,0.072148
289,3.197231769562,-0.055639
290,2.979310274124,0.162282
291,3.243986368179,-0.102394
292,3.315068483353,-0.173476
293,3.262798547745,-0.121206
294,2.993197202682,0.148395
295,3.105084657669,0.036508
296,3.013513565063,0.128079
297,2.989898920059,0.151694
298,3.046979904175,0.094613
299,3.277591943741,-0.135999
300,3.053333282471,0.088259
301,3.215946912766,-0.074354
302,3.139072895050,0.002520
